InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,Customer,Country
536370,22492.0,MINI PAINT SET VINTAGE ,36,12/01/2010 08:45,0.65,12583.0,France
536370,22493.0,POSTAGE,3,12/01/2010 08:45,18.0,12583.0,France
536371,22086.0,PAPER CHAIN KIT 50'S CHRISTMAS ,80,12/01/2010 09:00,2.55,13748.0,United Kingdom
536372,22632.0,HAND WARMER RED POLKA DOT,6,12/01/2010 09:01,1.85,17850.0,United Kingdom
536372,22633.0,HAND WARMER UNION JACK,6,12/01/2010 09:01,1.85,17850.0,United Kingdom
536373,85123.0,WHITE HANGING HEART T-LIGHT HOLDER,6,12/01/2010 09:02,2.55,17850.0,United Kingdom
536373,71053.0,WHITE METAL LANTERN,6,12/01/2010 09:02,3.39,17850.0,United Kingdom
536373,84406.0,CREAM CUPID HEARTS COAT HANGER,8,12/01/2010 09:02,2.75,17850.0,United Kingdom
536373,20679.0,EDWARDIAN PARASOL RED,6,12/01/2010 09:02,4.95,17850.0,United Kingdom
536373,37370.0,RETRO COFFEE MUGS ASSORTED,6,12/01/2010 09:02,1.06,17850.0,United Kingdom
536373,21871.0,SAVE THE PLANET MUG,6,12/01/2010 09:02,1.06,17850.0,United Kingdom
536373,21071.0,VINTAGE BILLBOARD DRINK ME MUG,6,12/01/2010 09:02,1.06,17850.0,United Kingdom
536373,21068.0,VINTAGE BILLBOARD LOVE/HATE MUG,6,12/01/2010 09:02,1.06,17850.0,United Kingdom
536373,82483.0,WOOD 2 DRAWER CABINET WHITE FINISH,2,12/01/2010 09:02,4.95,17850.0,United Kingdom
536373,82486.0,WOOD S/3 CABINET ANT WHITE FINISH,4,12/01/2010 09:02,6.95,17850.0,United Kingdom
536373,82482.0,WOODEN PICTURE FRAME WHITE FINISH,6,12/01/2010 09:02,2.1,17850.0,United Kingdom
536373,82494.0,WOODEN FRAME ANTIQUE WHITE ,6,12/01/2010 09:02,2.55,17850.0,United Kingdom
536373,84029.0,KNITTED UNION FLAG HOT WATER BOTTLE,6,12/01/2010 09:02,3.39,17850.0,United Kingdom
536373,84029.0,RED WOOLLY HOTTIE WHITE HEART.,6,12/01/2010 09:02,3.39,17850.0,United Kingdom
536373,22752.0,SET 7 BABUSHKA NESTING BOXES,2,12/01/2010 09:02,7.65,17850.0,United Kingdom
536373,21730.0,GLASS STAR FROSTED T-LIGHT HOLDER,6,12/01/2010 09:02,4.25,17850.0,United Kingdom
536374,21258.0,VICTORIAN SEWING BOX LARGE,32,12/01/2010 09:09,10.95,15100.0,United Kingdom
536375,85123.0,WHITE HANGING HEART T-LIGHT HOLDER,6,12/01/2010 09:32,2.55,17850.0,United Kingdom
536375,71053.0,WHITE METAL LANTERN,6,12/01/2010 09:32,3.39,17850.0,United Kingdom
536375,84406.0,CREAM CUPID HEARTS COAT HANGER,8,12/01/2010 09:32,2.75,17850.0,United Kingdom
536375,20679.0,EDWARDIAN PARASOL RED,6,12/01/2010 09:32,4.95,17850.0,United Kingdom
536375,37370.0,RETRO COFFEE MUGS ASSORTED,6,12/01/2010 09:32,1.06,17850.0,United Kingdom
536375,21871.0,SAVE THE PLANET MUG,6,12/01/2010 09:32,1.06,17850.0,United Kingdom
536375,21071.0,VINTAGE BILLBOARD DRINK ME MUG,6,12/01/2010 09:32,1.06,17850.0,United Kingdom
536375,21068.0,VINTAGE BILLBOARD LOVE/HATE MUG,6,12/01/2010 09:32,1.06,17850.0,United Kingdom
536375,82483.0,WOOD 2 DRAWER CABINET WHITE FINISH,2,12/01/2010 09:32,4.95,17850.0,United Kingdom
536375,82486.0,WOOD S/3 CABINET ANT WHITE FINISH,4,12/01/2010 09:32,6.95,17850.0,United Kingdom
536375,82482.0,WOODEN PICTURE FRAME WHITE FINISH,6,12/01/2010 09:32,2.1,17850.0,United Kingdom
536375,82494.0,WOODEN FRAME ANTIQUE WHITE ,6,12/01/2010 09:32,2.55,17850.0,United Kingdom
536375,84029.0,KNITTED UNION FLAG HOT WATER BOTTLE,6,12/01/2010 09:32,3.39,17850.0,United Kingdom
536375,84029.0,RED WOOLLY HOTTIE WHITE HEART.,6,12/01/2010 09:32,3.39,17850.0,United Kingdom
536375,22752.0,SET 7 BABUSHKA NESTING BOXES,2,12/01/2010 09:32,7.65,17850.0,United Kingdom
536375,21730.0,GLASS STAR FROSTED T-LIGHT HOLDER,6,12/01/2010 09:32,4.25,17850.0,United Kingdom
536376,22114.0,HOT WATER BOTTLE TEA AND SYMPATHY,48,12/01/2010 09:32,3.45,15291.0,United Kingdom
536376,21733.0,RED HANGING HEART T-LIGHT HOLDER,64,12/01/2010 09:32,2.55,15291.0,United Kingdom
536377,22632.0,HAND WARMER RED POLKA DOT,6,12/01/2010 09:34,1.85,17850.0,United Kingdom
536377,22633.0,HAND WARMER UNION JACK,6,12/01/2010 09:34,1.85,17850.0,United Kingdom
536378,22386.0,JUMBO BAG PINK POLKADOT,10,12/01/2010 09:37,1.95,14688.0,United Kingdom
536378,85099.0,JUMBO  BAG BAROQUE BLACK WHITE,10,12/01/2010 09:37,1.95,14688.0,United Kingdom
536378,21033.0,JUMBO BAG CHARLIE AND LOLA TOYS,10,12/01/2010 09:37,2.95,14688.0,United Kingdom
536378,20723.0,STRAWBERRY CHARLOTTE BAG,10,12/01/2010 09:37,0.85,14688.0,United Kingdom
536378,84997.0,RED 3 PIECE RETROSPOT CUTLERY SET,12,12/01/2010 09:37,3.75,14688.0,United Kingdom
536378,84997.0,BLUE 3 PIECE POLKADOT CUTLERY SET,6,12/01/2010 09:37,3.75,14688.0,United Kingdom
536378,21094.0,SET/6 RED SPOTTY PAPER PLATES,12,12/01/2010 09:37,0.85,14688.0,United Kingdom
536378,20725.0,LUNCH BAG RED RETROSPOT,10,12/01/2010 09:37,1.65,14688.0,United Kingdom
536378,21559.0,STRAWBERRY LUNCH BOX WITH CUTLERY,6,12/01/2010 09:37,2.55,14688.0,United Kingdom
536378,22352.0,LUNCH BOX WITH CUTLERY RETROSPOT ,6,12/01/2010 09:37,2.55,14688.0,United Kingdom
536378,21212.0,PACK OF 72 RETROSPOT CAKE CASES,120,12/01/2010 09:37,0.42,14688.0,United Kingdom
536378,21975.0,PACK OF 60 DINOSAUR CAKE CASES,24,12/01/2010 09:37,0.55,14688.0,United Kingdom
536378,21977.0,PACK OF 60 PINK PAISLEY CAKE CASES,24,12/01/2010 09:37,0.55,14688.0,United Kingdom
536378,84991.0,60 TEATIME FAIRY CAKE CASES,24,12/01/2010 09:37,0.55,14688.0,United Kingdom
536378,84519.0,TOMATO CHARLIE+LOLA COASTER SET,6,12/01/2010 09:37,2.95,14688.0,United Kingdom
536378,85183.0,CHARLIE & LOLA WASTEPAPER BIN FLORA,48,12/01/2010 09:37,1.25,14688.0,United Kingdom
536378,85071.0,RED CHARLIE+LOLA PERSONAL DOORSIGN,96,12/01/2010 09:37,0.38,14688.0,United Kingdom
536378,21931.0,JUMBO STORAGE BAG SUKI,10,12/01/2010 09:37,1.95,14688.0,United Kingdom
536378,21929.0,JUMBO BAG PINK VINTAGE PAISLEY,10,12/01/2010 09:37,1.95,14688.0,United Kingdom
536380,22961.0,JAM MAKING SET PRINTED,24,12/01/2010 09:41,1.45,17809.0,United Kingdom
536381,22139.0,RETROSPOT TEA SET CERAMIC 11 PC ,23,12/01/2010 09:41,4.25,15311.0,United Kingdom
536381,84854.0,GIRLY PINK TOOL SET,5,12/01/2010 09:41,4.95,15311.0,United Kingdom
536381,22411.0,JUMBO SHOPPER VINTAGE RED PAISLEY,10,12/01/2010 09:41,1.95,15311.0,United Kingdom
536381,82567.0,"AIRLINE LOUNGE,METAL SIGN",2,12/01/2010 09:41,2.1,15311.0,United Kingdom
536381,21672.0,WHITE SPOT RED CERAMIC DRAWER KNOB,6,12/01/2010 09:41,1.25,15311.0,United Kingdom
536381,22774.0,RED DRAWER KNOB ACRYLIC EDWARDIAN,24,12/01/2010 09:41,1.25,15311.0,United Kingdom
536381,22771.0,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,24,12/01/2010 09:41,1.25,15311.0,United Kingdom
536381,71270.0,PHOTO CLIP LINE,1,12/01/2010 09:41,1.25,15311.0,United Kingdom
536381,22262.0,FELT EGG COSY CHICKEN,1,12/01/2010 09:41,0.85,15311.0,United Kingdom
536381,22637.0,PIGGY BANK RETROSPOT ,1,12/01/2010 09:41,2.55,15311.0,United Kingdom
536381,21934.0,SKULL SHOULDER BAG,10,12/01/2010 09:41,1.65,15311.0,United Kingdom
536381,21169.0,YOU'RE CONFUSING ME METAL SIGN ,3,12/01/2010 09:41,1.69,15311.0,United Kingdom
536381,21166.0,COOK WITH WINE METAL SIGN ,1,12/01/2010 09:41,1.95,15311.0,United Kingdom
536381,21175.0,GIN + TONIC DIET METAL SIGN,2,12/01/2010 09:41,2.1,15311.0,United Kingdom
536381,37444.0,YELLOW BREAKFAST CUP AND SAUCER,1,12/01/2010 09:41,2.95,15311.0,United Kingdom
536381,37444.0,PINK BREAKFAST CUP AND SAUCER ,1,12/01/2010 09:41,2.95,15311.0,United Kingdom
536381,22086.0,PAPER CHAIN KIT 50'S CHRISTMAS ,4,12/01/2010 09:41,2.95,15311.0,United Kingdom
536381,22083.0,PAPER CHAIN KIT RETROSPOT,1,12/01/2010 09:41,2.95,15311.0,United Kingdom
536381,84971.0,SMALL HEART FLOWERS HOOK ,6,12/01/2010 09:41,0.85,15311.0,United Kingdom
536381,71270.0,PHOTO CLIP LINE,3,12/01/2010 09:41,1.25,15311.0,United Kingdom
536381,47580.0,TEA TIME DES TEA COSY,2,12/01/2010 09:41,2.55,15311.0,United Kingdom
536381,22261.0,FELT EGG COSY WHITE RABBIT ,1,12/01/2010 09:41,0.85,15311.0,United Kingdom
536381,84832.0,ZINC WILLIE WINKIE  CANDLE STICK,1,12/01/2010 09:41,0.85,15311.0,United Kingdom
536381,22644.0,CERAMIC CHERRY CAKE MONEY BANK,1,12/01/2010 09:41,1.45,15311.0,United Kingdom
536381,21533.0,RETROSPOT LARGE MILK JUG,1,12/01/2010 09:41,4.95,15311.0,United Kingdom
536381,21557.0,SET OF 6 FUNKY BEAKERS,2,12/01/2010 09:41,2.95,15311.0,United Kingdom
536381,15056.0,EDWARDIAN PARASOL BLACK,2,12/01/2010 09:41,5.95,15311.0,United Kingdom
536381,15056.0,EDWARDIAN PARASOL NATURAL,2,12/01/2010 09:41,5.95,15311.0,United Kingdom
536381,22646.0,CERAMIC STRAWBERRY CAKE MONEY BANK,4,12/01/2010 09:41,1.45,15311.0,United Kingdom
536381,22176.0,BLUE OWL SOFT TOY,1,12/01/2010 09:41,2.95,15311.0,United Kingdom
536381,22438.0,BALLOON ART MAKE YOUR OWN FLOWERS,1,12/01/2010 09:41,1.95,15311.0,United Kingdom
536381,21731.0,RED TOADSTOOL LED NIGHT LIGHT,2,12/01/2010 09:41,1.65,15311.0,United Kingdom
536381,22778.0,GLASS CLOCHE SMALL,3,12/01/2010 09:41,3.95,15311.0,United Kingdom
536381,22719.0,GUMBALL MONOCHROME COAT RACK,36,12/01/2010 09:41,1.06,15311.0,United Kingdom
536381,21523.0,DOORMAT FANCY FONT HOME SWEET HOME,10,12/01/2010 09:41,6.75,15311.0,United Kingdom
536379,21523.0,Discount,-1,12/01/2010 09:41,27.5,14527.0,United Kingdom
536382,10002.0,INFLATABLE POLITICAL GLOBE ,12,12/01/2010 09:45,0.85,16098.0,United Kingdom
536382,21912.0,VINTAGE SNAKES & LADDERS,8,12/01/2010 09:45,3.75,16098.0,United Kingdom
536382,21832.0,CHOCOLATE CALCULATOR,12,12/01/2010 09:45,1.65,16098.0,United Kingdom
536382,22411.0,JUMBO SHOPPER VINTAGE RED PAISLEY,10,12/01/2010 09:45,1.95,16098.0,United Kingdom
536382,22379.0,RECYCLING BAG RETROSPOT ,10,12/01/2010 09:45,2.1,16098.0,United Kingdom
536382,22381.0,TOY TIDY PINK POLKADOT,50,12/01/2010 09:45,1.85,16098.0,United Kingdom
536382,22798.0,ANTIQUE GLASS DRESSING TABLE POT,8,12/01/2010 09:45,2.95,16098.0,United Kingdom
536382,22726.0,ALARM CLOCK BAKELIKE GREEN,4,12/01/2010 09:45,3.75,16098.0,United Kingdom
536382,22926.0,IVORY GIANT GARDEN THERMOMETER,12,12/01/2010 09:45,5.95,16098.0,United Kingdom
536382,22839.0,3 TIER CAKE TIN GREEN AND CREAM,2,12/01/2010 09:45,14.95,16098.0,United Kingdom
536382,22838.0,3 TIER CAKE TIN RED AND CREAM,2,12/01/2010 09:45,14.95,16098.0,United Kingdom
536382,22783.0,SET 3 WICKER OVAL BASKETS W LIDS,4,12/01/2010 09:45,16.95,16098.0,United Kingdom
536383,35004.0,SET OF 3 COLOURED  FLYING DUCKS,-1,12/01/2010 09:49,4.65,15311.0,United Kingdom
536384,82484.0,WOOD BLACK BOARD ANT WHITE FINISH,3,12/01/2010 09:53,6.45,18074.0,United Kingdom
536384,84755.0,COLOUR GLASS T-LIGHT HOLDER HANGING,48,12/01/2010 09:53,0.65,18074.0,United Kingdom
536384,22464.0,HANGING METAL HEART LANTERN,12,12/01/2010 09:53,1.65,18074.0,United Kingdom
536384,21324.0,HANGING MEDINA LANTERN SMALL,6,12/01/2010 09:53,2.95,18074.0,United Kingdom
536384,22457.0,NATURAL SLATE HEART CHALKBOARD ,12,12/01/2010 09:53,2.95,18074.0,United Kingdom
536384,22469.0,HEART OF WICKER SMALL,40,12/01/2010 09:53,1.45,18074.0,United Kingdom
536384,22470.0,HEART OF WICKER LARGE,40,12/01/2010 09:53,2.55,18074.0,United Kingdom
536384,22224.0,WHITE LOVEBIRD LANTERN,6,12/01/2010 09:53,2.95,18074.0,United Kingdom
536384,21340.0,CLASSIC METAL BIRDCAGE PLANT HOLDER,2,12/01/2010 09:53,12.75,18074.0,United Kingdom
536384,22189.0,CREAM HEART CARD HOLDER,4,12/01/2010 09:53,3.95,18074.0,United Kingdom
536384,22427.0,ENAMEL FLOWER JUG CREAM,3,12/01/2010 09:53,5.95,18074.0,United Kingdom
536384,22428.0,ENAMEL FIRE BUCKET CREAM,6,12/01/2010 09:53,6.95,18074.0,United Kingdom
536384,22424.0,ENAMEL BREAD BIN CREAM,8,12/01/2010 09:53,10.95,18074.0,United Kingdom
536385,22783.0,SET 3 WICKER OVAL BASKETS W LIDS,1,12/01/2010 09:56,19.95,17420.0,United Kingdom
536385,22961.0,JAM MAKING SET PRINTED,12,12/01/2010 09:56,1.45,17420.0,United Kingdom
536385,22960.0,JAM MAKING SET WITH JARS,6,12/01/2010 09:56,4.25,17420.0,United Kingdom
536385,22663.0,JUMBO BAG DOLLY GIRL DESIGN,10,12/01/2010 09:56,1.95,17420.0,United Kingdom
536385,85049.0,TRADITIONAL CHRISTMAS RIBBONS,12,12/01/2010 09:56,1.25,17420.0,United Kingdom
536385,22168.0,ORGANISER WOOD ANTIQUE WHITE ,2,12/01/2010 09:56,8.5,17420.0,United Kingdom
536385,22662.0,LUNCH BAG DOLLY GIRL DESIGN,10,12/01/2010 09:56,1.65,17420.0,United Kingdom
536386,84880.0,WHITE WIRE EGG HOLDER,36,12/01/2010 09:57,4.95,16029.0,United Kingdom
536386,85099.0,JUMBO  BAG BAROQUE BLACK WHITE,100,12/01/2010 09:57,1.65,16029.0,United Kingdom
536386,85099.0,JUMBO BAG RED RETROSPOT,100,12/01/2010 09:57,1.65,16029.0,United Kingdom
536387,79321.0,CHILLI LIGHTS,192,12/01/2010 09:58,3.82,16029.0,United Kingdom
536387,22780.0,LIGHT GARLAND BUTTERFILES PINK,192,12/01/2010 09:58,3.37,16029.0,United Kingdom
536387,22779.0,WOODEN OWLS LIGHT GARLAND ,192,12/01/2010 09:58,3.37,16029.0,United Kingdom
536387,22466.0,FAIRY TALE COTTAGE NIGHTLIGHT,432,12/01/2010 09:58,1.45,16029.0,United Kingdom
536387,21731.0,RED TOADSTOOL LED NIGHT LIGHT,432,12/01/2010 09:58,1.25,16029.0,United Kingdom
536388,21754.0,HOME BUILDING BLOCK WORD,3,12/01/2010 09:59,5.95,16250.0,United Kingdom
536388,21755.0,LOVE BUILDING BLOCK WORD,3,12/01/2010 09:59,5.95,16250.0,United Kingdom
536388,21523.0,DOORMAT FANCY FONT HOME SWEET HOME,2,12/01/2010 09:59,7.95,16250.0,United Kingdom
536388,21363.0,HOME SMALL WOOD LETTERS,3,12/01/2010 09:59,4.95,16250.0,United Kingdom
536388,21411.0,GINGHAM HEART  DOORSTOP RED,3,12/01/2010 09:59,4.25,16250.0,United Kingdom
536388,22318.0,FIVE HEART HANGING DECORATION,6,12/01/2010 09:59,2.95,16250.0,United Kingdom
536388,22464.0,HANGING METAL HEART LANTERN,12,12/01/2010 09:59,1.65,16250.0,United Kingdom
536388,22915.0,ASSORTED BOTTLE TOP  MAGNETS ,12,12/01/2010 09:59,0.42,16250.0,United Kingdom
536388,22922.0,FRIDGE MAGNETS US DINER ASSORTED,12,12/01/2010 09:59,0.85,16250.0,United Kingdom
536388,22969.0,HOMEMADE JAM SCENTED CANDLES,12,12/01/2010 09:59,1.45,16250.0,United Kingdom
536388,22923.0,FRIDGE MAGNETS LES ENFANTS ASSORTED,12,12/01/2010 09:59,0.85,16250.0,United Kingdom
536388,21115.0,ROSE CARAVAN DOORSTOP,4,12/01/2010 09:59,6.75,16250.0,United Kingdom
536388,22469.0,HEART OF WICKER SMALL,12,12/01/2010 09:59,1.65,16250.0,United Kingdom
536388,22242.0,5 HOOK HANGER MAGIC TOADSTOOL,12,12/01/2010 09:59,1.65,16250.0,United Kingdom
536389,22941.0,CHRISTMAS LIGHTS 10 REINDEER,6,12/01/2010 10:03,8.5,12431.0,Australia
536389,21622.0,VINTAGE UNION JACK CUSHION COVER,8,12/01/2010 10:03,4.95,12431.0,Australia
536389,21791.0,VINTAGE HEADS AND TAILS CARD GAME ,12,12/01/2010 10:03,1.25,12431.0,Australia
536389,35004.0,SET OF 3 COLOURED  FLYING DUCKS,6,12/01/2010 10:03,5.45,12431.0,Australia
536389,35004.0,SET OF 3 GOLD FLYING DUCKS,4,12/01/2010 10:03,6.35,12431.0,Australia
536389,85014.0,RED RETROSPOT UMBRELLA,6,12/01/2010 10:03,5.95,12431.0,Australia
536389,85014.0,BLACK/BLUE POLKADOT UMBRELLA,3,12/01/2010 10:03,5.95,12431.0,Australia
536389,22193.0,RED DINER WALL CLOCK,2,12/01/2010 10:03,8.5,12431.0,Australia
536389,22726.0,ALARM CLOCK BAKELIKE GREEN,4,12/01/2010 10:03,3.75,12431.0,Australia
536389,22727.0,ALARM CLOCK BAKELIKE RED ,4,12/01/2010 10:03,3.75,12431.0,Australia
536389,22192.0,BLUE DINER WALL CLOCK,2,12/01/2010 10:03,8.5,12431.0,Australia
536389,22191.0,IVORY DINER WALL CLOCK,2,12/01/2010 10:03,8.5,12431.0,Australia
536389,22195.0,LARGE HEART MEASURING SPOONS,24,12/01/2010 10:03,1.65,12431.0,Australia
536389,22196.0,SMALL HEART MEASURING SPOONS,24,12/01/2010 10:03,0.85,12431.0,Australia
536390,22941.0,CHRISTMAS LIGHTS 10 REINDEER,2,12/01/2010 10:19,8.5,17511.0,United Kingdom
536390,22960.0,JAM MAKING SET WITH JARS,12,12/01/2010 10:19,3.75,17511.0,United Kingdom
536390,22961.0,JAM MAKING SET PRINTED,12,12/01/2010 10:19,1.45,17511.0,United Kingdom
536390,22962.0,JAM JAR WITH PINK LID,48,12/01/2010 10:19,0.72,17511.0,United Kingdom
536390,22963.0,JAM JAR WITH GREEN LID,48,12/01/2010 10:19,0.72,17511.0,United Kingdom
536390,22968.0,ROSE COTTAGE KEEPSAKE BOX ,8,12/01/2010 10:19,8.5,17511.0,United Kingdom
536390,84970.0,HANGING HEART ZINC T-LIGHT HOLDER,144,12/01/2010 10:19,0.64,17511.0,United Kingdom
536390,22910.0,PAPER CHAIN KIT VINTAGE CHRISTMAS,40,12/01/2010 10:19,2.55,17511.0,United Kingdom
536390,20668.0,DISCO BALL CHRISTMAS DECORATION,288,12/01/2010 10:19,0.1,17511.0,United Kingdom
536390,85123.0,WHITE HANGING HEART T-LIGHT HOLDER,64,12/01/2010 10:19,2.55,17511.0,United Kingdom
536390,22197.0,SMALL POPCORN HOLDER,100,12/01/2010 10:19,0.72,17511.0,United Kingdom
536390,22198.0,LARGE POPCORN HOLDER ,50,12/01/2010 10:19,1.45,17511.0,United Kingdom
536390,21533.0,RETROSPOT LARGE MILK JUG,12,12/01/2010 10:19,4.25,17511.0,United Kingdom
536390,21080.0,SET/20 RED RETROSPOT PAPER NAPKINS ,96,12/01/2010 10:19,0.64,17511.0,United Kingdom
536390,21094.0,SET/6 RED SPOTTY PAPER PLATES,96,12/01/2010 10:19,0.64,17511.0,United Kingdom
536390,21086.0,SET/6 RED SPOTTY PAPER CUPS,48,12/01/2010 10:19,0.65,17511.0,United Kingdom
536390,21786.0,POLKADOT RAIN HAT ,144,12/01/2010 10:19,0.32,17511.0,United Kingdom
536390,22654.0,DELUXE SEWING KIT ,40,12/01/2010 10:19,4.95,17511.0,United Kingdom
536390,21485.0,RETROSPOT HEART HOT WATER BOTTLE,24,12/01/2010 10:19,4.25,17511.0,United Kingdom
536390,84029.0,KNITTED UNION FLAG HOT WATER BOTTLE,24,12/01/2010 10:19,3.39,17511.0,United Kingdom
536390,84030.0,ENGLISH ROSE HOT WATER BOTTLE,24,12/01/2010 10:19,3.75,17511.0,United Kingdom
536390,22174.0,PHOTO CUBE,48,12/01/2010 10:19,1.48,17511.0,United Kingdom
536390,22969.0,HOMEMADE JAM SCENTED CANDLES,96,12/01/2010 10:19,1.25,17511.0,United Kingdom
536390,85099.0,JUMBO BAG RED RETROSPOT,100,12/01/2010 10:19,1.65,17511.0,United Kingdom
536391,22556.0,PLASTERS IN TIN CIRCUS PARADE ,-12,12/01/2010 10:24,1.65,17548.0,United Kingdom
536391,21984.0,PACK OF 12 PINK PAISLEY TISSUES ,-24,12/01/2010 10:24,0.29,17548.0,United Kingdom
536391,21983.0,PACK OF 12 BLUE PAISLEY TISSUES ,-24,12/01/2010 10:24,0.29,17548.0,United Kingdom
536391,21980.0,PACK OF 12 RED RETROSPOT TISSUES ,-24,12/01/2010 10:24,0.29,17548.0,United Kingdom
536391,21484.0,CHICK GREY HOT WATER BOTTLE,-12,12/01/2010 10:24,3.45,17548.0,United Kingdom
536391,22557.0,PLASTERS IN TIN VINTAGE PAISLEY ,-12,12/01/2010 10:24,1.65,17548.0,United Kingdom
536391,22553.0,PLASTERS IN TIN SKULLS,-24,12/01/2010 10:24,1.65,17548.0,United Kingdom
536392,22150.0,3 STRIPEY MICE FELTCRAFT,6,12/01/2010 10:29,1.95,13705.0,United Kingdom
536392,22619.0,SET OF 6 SOLDIER SKITTLES,4,12/01/2010 10:29,3.75,13705.0,United Kingdom
